MMS Record ID,HOL Record ID,Item PID, Barcode, Title, Publisher, Bib Material Type, Creator, Call Number, Permanent Call Number, Permanent Physical Location, Local Location, Holding Type, Item Material Type, Policy, Seq. Number,Chronology,Enumeration,Issue year,Description,Public note,Fulfillment note,Inventory  #,Inventory date,Shelf report #,On shelf date,On shelf seq,Last shelf report,Temp library,Temp location,Temp call # type,Temp call #,Temp item policy,Alt. call # type,Alt. call #,Pieces,Pages,Internal note (1),Internal note (2),Internal note (3),Statistics note (1),Statistics note (2),Statistics note (3),Creation date,Modification date,Status,Process type,Process Id,Number of loans,Last loan,Number of loans in house,Last loan in house,Year-to-date Loans,Receiving date,Copy ID, Receiving number, Weeding number, Weeding date, Other System Number, Committed to Retain, Retention Reason, Retention Note
"'9994455676306137'",'2290785220006137','2390785200006137','31153008088551',B minor mass /,RCA Victor,Music,"Bach, Johann Sebastian, 1685-1750.",Cir CD #11049,Cir CD #11049,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-06-23,2022-06-23 16:37:48,Item in place,,,0,,0,,0,,,,,,(OCoLC)43099684;(OCoLC)ocm43099684,,,
"'9994455674806137'",'2290784370006137','2390784350006137','31153008087934',"Misas 'Prudentes virgines,' 'Beata Dei genitrix' /","Lauda,",Music,,Circ CD #11060,Circ CD #11060,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-06-24,2022-06-24 15:22:03,Item in place,,,0,,0,,0,,,,,,(OCoLC)865013453;(OCoLC)ocn865013453,,,
"'9994455680606137'",'2290787740006137','2390787720006137','31153008086811',Brahms & Bruckner Motets /,"Signum Classics,",Music,,Circ CD #11007,Circ CD #11007,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-06-16,2022-06-16 13:29:28,Item in place,,,0,,0,,0,,,,,,(OCoLC)1114082175;(OCoLC)on1114082175,,,
"'9994459379406137'",'2291335730006137','2391335710006137','31153008089773',Silver : the best of the Tallis Scholars.,"Gimell,",Music,"Tallis Scholars, performer.",Circ CD #7620,Circ CD #7620,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-07-14,2022-07-14 20:24:38,Item in place,,,0,,0,,0,,,,,,(OCoLC)40513162;(OCoLC)ocm40513162,,,
"'9994455676406137'",'2290785270006137','2390785250006137','31153008088569',The piano concertos /,"Deutsche Grammophon,",Music,"Bartók, Béla, 1881-1945, composer.",Circ CD #11048,Circ CD #11048,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-06-23,2022-06-23 16:09:47,Item in place,,,0,,0,,0,,,,,,(OCoLC)1262668151;(OCoLC)on1262668151,,,
"'9994459379906137'",'2291337450006137','2391337430006137','31153008089757',Carnaval : op. 9 ; Kinderszenen : op. 15 ; Waldszenen : op. 82 /,"Philips,",Music,"Schumann, Robert, 1810-1856.",Circ CD #7696,Circ CD #7696,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-07-14,2022-07-14 16:07:07,Item in place,,,0,,0,,0,,,,,,(OCoLC)18668173;(OCoLC)ocm18668173,,,
"'9994460880206137'",'2291537580006137','2391537560006137','31153008089690',The enchanted kingdom : orchestral music /,"Deutsche Grammophon,",Music,"Rossiĭskiĭ nat︠s︡ionalʹnyĭ orkestr, instrumentalist.",Circ CD #6620,Circ CD #6620,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-07-26,2022-07-26 14:32:00,Item in place,,,0,,0,,0,,,,,,(OCoLC)54392090;(OCoLC)ocm54392090,,,
"'9994455676606137'",'2290785350006137','2390785330006137','31153008088163',Murray Perahia plays Bach,"Sony Classical,",Music,"Bach, Johann Sebastian, 1685-1750, composer.",Circ CD #11046,Circ CD #11046,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-06-23,2022-06-23 15:48:04,Item in place,,,0,,0,,0,,,,,,(OCoLC)53817808;(OCoLC)ocm53817808,,,
"'9994459380106137'",'2291337540006137','2391337520006137','31153008089864',"Piano concerto no. 1, opus 1 /","CBC Enterprises/Les Enterprises Radio-Canada,",Music,"Rachmaninoff, Sergei, 1873-1943.",Circ CD #7736,Circ CD #7736,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-07-14,2022-07-14 14:17:09,Item in place,,,0,,0,,0,,,,,,(OCoLC)20238146;(OCoLC)ocm20238146,,,
"'9994459380206137'",'2291337580006137','2391337560006137','31153008089823',Symphonies 7-9 /,"London,",Music,"Dvořák, Antonín, 1841-1904.",Circ CD #7782,Circ CD #7782,MCREC,QCMUS,x,CD,52,,,,,,Bindery prep,,,,,,,,112060140006137,UNKWN,,,,,,,,,,,,,,2022-07-14,2022-07-14 13:02:24,Item in place,,,0,,0,,0,,,,,,(OCoLC)605962438;(OCoLC)ocn605962438,,,
